start_year,end_year,flat_type,no_of_completed_units
1960,1965,dwelling_units,53777
1960,1965,commercial developments,653
1966,1970,dwelling_units,63448
1966,1970,commercial developments,2791
1971,1975,dwelling_units,110362
1971,1975,commercial developments,3457
1976,1980,dwelling_units,130981
1976,1980,commercial developments,6689
1981,1985,dwelling_units,189299
1981,1985,commercial developments,11078
1986,1990,dwelling_units,119708
1986,1990,commercial developments,1692
1991,1995,dwelling_units,98994
1991,1995,commercial developments,563
1996,2000,dwelling_units,157919
1996,2000,commercial developments,702
2001,2005,dwelling_units,55135
2001,2005,commercial developments,380
2006,2010,dwelling_units,29935
2006,2010,commercial developments,134
2011,2014,dwelling_units,72218
2011,2014,commercial developments,182
2011,2015,dwelling_units,96991
2011,2015,commercial developments,244
2016,2017,dwelling_units,61235
2016,2017,commercial developments,329
