month,mobile_penetration_rate
1997-01,13.6
1997-02,13.9
1997-03,14.2
1997-04,15.7
1997-05,16.8
1997-06,18
1997-07,19.3
1997-08,20
1997-09,21
1997-10,21.7
1997-11,22.5
1997-12,24
1998-01,25
1998-02,25.8
1998-03,27.3
1998-04,27.8
1998-05,28.2
1998-06,28.6
1998-07,29.3
1998-08,29.6
1998-09,30.3
1998-10,31.1
1998-11,31.8
1998-12,32.3
1999-01,32.7
1999-02,33.6
1999-03,34.6
1999-04,35.3
1999-05,36
1999-06,36.2
1999-07,37.6
1999-08,39.2
1999-09,40.7
1999-10,42.2
1999-11,43.4
1999-12,45.7
2000-01,47.6
2000-02,49.1
2000-03,50.7
2000-04,53.9
2000-05,56.3
2000-06,57.7
2000-07,60.4
2000-08,63.2
2000-09,66.3
2000-10,68.9
2000-11,71.5
2000-12,74.8
2001-01,63.1
2001-02,65.6
2001-03,68.4
2001-04,70.6
2001-05,72.2
2001-06,72.1
2001-07,73.1
2001-08,74.5
2001-09,74.6
2001-10,74.5
2001-11,67
2001-12,69.2
2002-01,70.7
2002-02,71.5
2002-03,72.4
2002-04,72.8
2002-05,73.3
2002-06,72.9
2002-07,74
2002-08,74.4
2002-09,74.8
2002-10,75.1
2002-11,76.2
2002-12,77.8
2003-01,78.5
2003-02,79
2003-03,79.4
2003-04,79
2003-05,79.6
2003-06,81.1
2003-07,81.6
2003-08,82.4
2003-09,82.7
2003-10,82.9
2003-11,83.5
2003-12,84.5
2004-01,85.6
2004-02,86.1
2004-03,86.9
2004-04,87.6
2004-05,88.2
2004-06,87.7
2004-07,88.6
2004-08,89.2
2004-09,89.8
2004-10,90.2
2004-11,91.2
2004-12,92.7
2005-01,93.6
2005-02,94.5
2005-03,95.9
2005-04,96.5
2005-05,96.7
2005-06,95.6
2005-07,97
2005-08,97.5
2005-09,98.1
2005-10,98.3
2005-11,98.1
2005-12,99.8
2006-01,101.1
2006-02,101.8
2006-03,102.8
2006-04,103.5
2006-05,101.3
2006-06,95.8
2006-07,97.3
2006-08,98.9
2006-09,100.3
2006-10,101.6
2006-11,103.3
2006-12,105.4
2007-01,106.5
2007-02,107.5
2007-03,108.8
2007-04,110.1
2007-05,111.6
2007-06,108.7
2007-07,110.7
2007-08,112.9
2007-09,115.1
2007-10,116.4
2007-11,118.4
2007-12,122.5
2008-01,125.6
2008-02,127
2008-03,129.1
2008-04,130.6
2008-05,132.5
2008-06,127.3
2008-07,128.5
2008-08,128.4
2008-09,129.3
2008-10,129.7
2008-11,130.1
2008-12,131
2009-01,131.3
2009-02,131.7
2009-03,132.6
2009-04,133.2
2009-05,133.8
2009-06,130.6
2009-07,131.9
2009-08,133.1
2009-09,134.5
2009-10,135.3
2009-11,136.6
2009-12,137.5
2010-01,137.9
2010-02,137.6
2010-03,138
2010-04,138.7
2010-05,139.6
2010-06,140.7
2010-07,142.6
2010-08,140.6
2010-09,141.4
2010-10,142.1
2010-11,142.7
2010-12,143.6
2011-01,143.9
2011-02,144.2
2011-03,145.5
2011-04,146.1
2011-05,147.1
2011-06,148.5
2011-07,149.5
2011-08,147.1
2011-09,147.9
2011-10,148.5
2011-11,148.9
2011-12,149.6
2012-01,149.5
2012-02,148.9
2012-03,150.4
2012-04,150.6
2012-05,150.6
2012-06,151.4
2012-07,152
2012-08,148.7
2012-09,148.8
2012-10,149.8
2012-11,150.5
2012-12,151.8
2013-01,152.7
2013-02,153
2013-03,151.9
2013-04,152.7
2013-05,153.3
2013-06,154.3
2013-07,155.5
2013-08,153.8
2013-09,154.5
2013-10,154.5
2013-11,155.4
2013-12,156
2014-01,155.6
2014-02,155.4
2014-03,156.3
2014-04,155.4
2014-05,155
2014-06,153.9
2014-07,153
2014-08,152.4
2014-09,151
2014-10,148.8
2014-11,148.2
2014-12,148
2015-01,148.2
2015-02,148
2015-03,148.2
2015-04,148.5
2015-05,148.4
2015-06,148.6
2015-07,147.1
2015-08,147.5
2015-09,147.5
2015-10,147.5
2015-11,147.6
2015-12,148.4
2016-01,148.7
2016-02,148.8
2016-03,148.7
2016-04,149.1
2016-05,149.4
2016-06,148.2
2016-07,148.9
2016-08,149.2
2016-09,149.3
2016-10,149.1
2016-11,149.2
2016-12,149.8
2017-01,149.8
2017-02,149.9
2017-03,150.9
2017-04,151
2017-05,150.9
2017-06,150.8
2017-07,151.1
2017-08,149.7
2017-09,149.2
2017-10,148.8
2017-11,149.6
2017-12,150.8
2018-01,150.4
2018-02,149.4
2018-03,149.3
2018-04,148.9
2018-05,148.6
2018-06,147.8
2018-07,147.8
2018-08,147.3
