quarter,speed,no_of_subscriptions
2011-Q1,<100Mbps,1154289
2011-Q1,100Mbps and above,35986
2011-Q2,<100Mbps,1177052
2011-Q2,100Mbps and above,43558
2011-Q3,<100Mbps,1177446
2011-Q3,100Mbps and above,54208
2011-Q4,<100Mbps,1159064
2011-Q4,100Mbps and above,78793
2012-Q1,<100Mbps,1137331
2012-Q1,100Mbps and above,105785
2012-Q2,<100Mbps,1103906
2012-Q2,100Mbps and above,145190
2012-Q3,<100Mbps,1072210
2012-Q3,100Mbps and above,192822
2012-Q4,<100Mbps,1031396
2012-Q4,100Mbps and above,246230
2013-Q1,<100Mbps,958411
2013-Q1,100Mbps and above,296302
2013-Q2,<100Mbps,901562
2013-Q2,100Mbps and above,363518
2013-Q3,<100Mbps,826256
2013-Q3,100Mbps and above,453627
2013-Q4,<100Mbps,762509
2013-Q4,100Mbps and above,532921
2014-Q1,<100Mbps,707855
2014-Q1,100Mbps and above,601098
2014-Q2,<100Mbps,651028
2014-Q2,100Mbps and above,674122
2014-Q3,<100Mbps,602025
2014-Q3,100Mbps and above,737639
2014-Q4,<100Mbps,553039
2014-Q4,100Mbps and above,794434
2015-Q1,<100Mbps,500360
2015-Q1,100Mbps and above,852255
2015-Q2,<100Mbps,460905
2015-Q2,100Mbps and above,897365
2015-Q3,<100Mbps,416300
2015-Q3,100Mbps and above,949100
2015-Q4,<100Mbps,368300
2015-Q4,100Mbps and above,991500
2016-Q1,<100Mbps,322300
2016-Q1,100Mbps and above,1035400
2016-Q2,<100Mbps,264200
2016-Q2,100Mbps and above,1083700
2016-Q3,<100Mbps,222600
2016-Q3,100Mbps and above,1111700
2016-Q4,<100Mbps,199500
2016-Q4,100Mbps and above,1136400
2017-Q1,<100Mbps,176600
2017-Q1,100Mbps and above,1162900
2017-Q2,<100Mbps,158300
2017-Q2,100Mbps and above,1181400
2017-Q3,<100Mbps,143000
2017-Q3,100Mbps and above,1200000
2017-Q4,<100Mbps,127500
2017-Q4,100Mbps and above,1215700
2018-Q1,<100Mbps,110700
2018-Q1,100Mbps and above,1235000
2018-Q2,<100Mbps,93700
2018-Q2,100Mbps and above,1254400
