month,total_internet_dialup
1996-12,129100
1997-01,139000
1997-02,149000
1997-03,162000
1997-04,175000
1997-05,185000
1997-06,196000
1997-07,211000
1997-08,222000
1997-09,233000
1997-10,243000
1997-11,254000
1997-12,267400
1998-01,276600
1998-02,285500
1998-03,296600
1998-04,306700
1998-05,316700
1998-06,328800
1998-07,343900
1998-08,352500
1998-09,362900
1998-10,371900
1998-11,384700
1998-12,393600
1999-01,406400
1999-02,412600
1999-03,426800
1999-04,436500
1999-05,441900
1999-06,452700
1999-07,466200
1999-08,480600
1999-09,489400
1999-10,497500
1999-11,507400
1999-12,582600
2000-01,956300
2000-02,1692400
2000-03,1711300
2000-04,1731000
2000-05,1743600
2000-06,1790200
2000-07,1847900
2000-08,1860200
2000-09,1870300
2000-10,1879000
2000-11,1884200
2000-12,1940300
2001-01,1948000
2001-02,1949600
2001-03,1956200
2001-04,1957800
2001-05,1913100
2001-06,1913400
2001-07,1915800
2001-08,1918300
2001-09,1917700
2001-10,1919500
2001-11,1919700
2001-12,1917900
2002-01,1918600
2002-02,1917200
2002-03,1933500
2002-04,1948000
2002-05,1958400
2002-06,1973100
2002-07,1983000
2002-08,1988200
2002-09,1982400
2002-10,1994000
2002-11,1999000
2002-12,2000700
2003-01,2009600
2003-02,2013300
2003-03,2020800
2003-04,2032000
2003-05,2039600
2003-06,2025700
2003-07,1817900
2003-08,1813400
2003-09,1811200
2003-10,1806700
2003-11,1801500
2003-12,1796200
2004-01,1790400
2004-02,1784500
2004-03,1778200
2004-04,1767600
2004-05,1762400
2004-06,1755900
2004-07,1747500
2004-08,1740900
2004-09,1734100
2004-10,1727500
2004-11,1720700
2004-12,1714300
2005-01,1708500
2005-02,1702200
2005-03,1695600
2005-04,1687100
2005-05,1680200
2005-06,1673500
2005-07,1665100
2005-08,1657700
2005-09,1647700
2005-10,1637700
2005-11,1628500
2005-12,1618100
2006-01,1609800
2006-02,1600300
2006-03,1589500
2006-04,1581800
2006-05,1575100
2006-06,1567100
2006-07,1559400
2006-08,1549500
2006-09,1544000
2006-10,1537300
2006-11,1530400
2006-12,1522400
2007-01,1516300
2007-02,1514500
2007-03,1515300
2007-04,1483800
2007-05,1471500
2007-06,1111900
2007-07,1101800
2007-08,1092200
2007-09,1081900
2007-10,1072200
2007-11,1066200
2007-12,1057000
2008-01,1047000
2008-02,1039300
2008-03,1031400
2008-04,122400
2008-05,120800
2008-06,117900
2008-07,115300
2008-08,112100
2008-09,109800
2008-10,107800
2008-11,105700
2008-12,103800
2009-01,101900
2009-02,100300
2009-03,98300
2009-04,95900
2009-05,93800
2009-06,92100
2009-07,86300
2009-08,84800
2009-09,84200
2009-10,82500
2009-11,81100
2009-12,79900
2010-01,78600
2010-02,77500
2010-03,76400
2010-04,75100
2010-05,74100
2010-06,73100
2010-07,71900
2010-08,71000
2010-09,70100
2010-10,69200
2010-11,68400
2010-12,67500
2011-01,66400
2011-02,65700
2011-03,64800
2011-04,63400
2011-05,63100
2011-06,62500
2011-07,62200
2011-08,61000
2011-09,60300
2011-10,59500
2011-11,58900
2011-12,58300
2012-01,57700
2012-02,57200
2012-03,56400
2012-04,55500
2012-05,54800
2012-06,54000
2012-07,53400
2012-08,52800
2012-09,52200
2012-10,51700
2012-11,51200
2012-12,23800
2013-01,23500
2013-02,23300
2013-03,23000
2013-04,22700
2013-05,22500
2013-06,22200
2013-07,21900
2013-08,21600
2013-09,21400
2013-10,21100
2013-11,20900
2013-12,20600
2014-01,20400
2014-02,19600
2014-03,20000
2014-04,19700
2014-05,13800
2014-06,19300
2014-07,19100
2014-08,18900
2014-09,18700
2014-10,18600
2014-11,18400
2014-12,18300
2015-01,18100
2015-02,13600
2015-03,13500
2015-04,13400
2015-05,13300
2015-06,13200
2015-07,13200
2015-08,13100
2015-09,13000
2015-10,13000
2015-11,13000
2015-12,12900
2016-01,12800
2016-02,12600
2016-03,12500
2016-04,12500
2016-05,12300
2016-06,12300
2016-07,12100
2016-08,12100
2016-09,11900
2016-10,12000
2016-11,11700
2016-12,11300
2017-01,10200
2017-02,6900
2017-03,6700
2017-04,6600
2017-05,6400
2017-06,6200
2017-07,6100
2017-08,6000
2017-09,6000
2017-10,6000
2017-11,5900
2017-12,5800
2018-01,5800
2018-02,5800
2018-03,5800
2018-04,5700
2018-05,5700
2018-06,5600
2018-07,5600
2018-08,5500
