month,connection_type,service_level
2011-09,Residential,97.62
2011-09,Non-residential,99.26
2011-10,Residential,97.9
2011-10,Non-residential,99.25
2011-11,Residential,99.29
2011-11,Non-residential,100
2011-12,Residential,98.87
2011-12,Non-residential,100
2012-01,Residential,99.01
2012-01,Non-residential,100
2012-02,Residential,99.12
2012-02,Non-residential,99.21
2012-03,Residential,98.72
2012-03,Non-residential,99.17
2012-04,Residential,98.42
2012-04,Non-residential,99.36
2012-05,Residential,99.12
2012-05,Non-residential,99.18
2012-06,Residential,98.94
2012-06,Non-residential,99.43
2012-07,Residential,98.12
2012-07,Non-residential,100
2012-08,Residential,98.48
2012-08,Non-residential,99.77
2012-09,Residential,98.78
2012-09,Non-residential,99.48
2012-10,Residential,98.86
2012-10,Non-residential,98.41
2012-11,Residential,98.36
2012-11,Non-residential,99.3
2012-12,Residential,98.49
2012-12,Non-residential,99.25
2013-01,Residential,98.59
2013-01,Non-residential,99.79
2013-02,Residential,98.66
2013-02,Non-residential,98.52
2013-03,Residential,98.23
2013-03,Non-residential,98.72
2013-04,Residential,98.5
2013-04,Non-residential,99.06
2013-05,Residential,98.65
2013-05,Non-residential,100
2013-06,Residential,98.26
2013-06,Non-residential,99.62
2013-07,Residential,98.1
2013-07,Non-residential,99.48
2013-08,Residential,98.22
2013-08,Non-residential,98.59
2013-09,Residential,98.28
2013-09,Non-residential,99.07
2013-10,Residential,98.67
2013-10,Non-residential,99.28
2013-11,Residential,98.77
2013-11,Non-residential,98.75
2013-12,Residential,98.72
2013-12,Non-residential,99.13
2014-01,Residential,98.66
2014-01,Non-residential,98.95
2014-02,Residential,98.19
2014-02,Non-residential,98.97
2014-03,Residential,98.78
2014-03,Non-residential,99.09
2014-04,Residential,98.47
2014-04,Non-residential,99.52
2014-05,Residential,98.22
2014-05,Non-residential,99.22
2014-06,Residential,98.67
2014-06,Non-residential,99.1
2014-07,Residential,98.41
2014-07,Non-residential,99.3
2014-08,Residential,98.5
2014-08,Non-residential,99.18
2014-09,Residential,98.47
2014-09,Non-residential,99.63
2014-10,Residential,98.73
2014-10,Non-residential,99.49
2014-11,Residential,98.38
2014-11,Non-residential,99.43
2014-12,Residential,98.36
2014-12,Non-residential,99.46
2015-01,Residential,98.41
2015-01,Non-residential,99.3
2015-02,Residential,98.5
2015-02,Non-residential,99.18
2015-03,Residential,98.47
2015-03,Non-residential,99.63
2015-04,Residential,98.58
2015-04,Non-residential,99.72
2015-05,Residential,98.27
2015-05,Non-residential,99.14
2015-06,Residential,98.48
2015-06,Non-residential,99.18
2015-07,Residential,98.33
2015-07,Non-residential,99.26
2015-08,Residential,98.5
2015-08,Non-residential,99.17
2015-09,Residential,98.77
2015-09,Non-residential,99.68
2015-10,Residential,98.53
2015-10,Non-residential,99.39
2015-11,Residential,98.32
2015-11,Non-residential,99.11
2015-12,Residential,98.43
2015-12,Non-residential,99.29
2016-01,Residential,98.18
2016-01,Non-residential,99.08
2016-02,Residential,98.66
2016-02,Non-residential,99
2016-03,Residential,98.66
2016-03,Non-residential,99.24
