financial_year,application_type,no_of_applications
2008,new flat buyers,936
2008,resale flat buyers,14913
2008,existing flat owners (refinance),42
2009,new flat buyers,948
2009,resale flat buyers,22345
2009,existing flat owners (refinance),101
2010,new flat buyers,868
2010,resale flat buyers,17990
2010,existing flat owners (refinance),329
2011,new flat buyers,2402
2011,resale flat buyers,15039
2011,existing flat owners (refinance),548
2011,DBSS flat buyers,271
2012,new flat buyers,2219
2012,resale flat buyers,15259
2012,existing flat owners (refinance),611
2012,DBSS flat buyers,1017
2013,new flat buyers,2474
2013,resale flat buyers,9213
2013,existing flat owners (refinance),1399
2013,DBSS flat buyers,244
2014,new flat buyers,2122
2014,resale flat buyers,9318
2014,existing flat owners (refinance),578
2014,DBSS flat buyers,121
2015,new flat buyers,1730
2015,resale flat buyers,8211
2015,existing flat owners (refinance),156
2015,DBSS flat buyers,44
2016,new flat buyers,1840
2016,resale flat buyers,8207
2016,existing flat owners (refinance),326
2016,DBSS flat buyers,5
2017,new flat buyers,2235
2017,resale flat buyers,8563
2017,existing flat owners (refinance),1020
2017,DBSS flat buyers,7
